Ticker,Sector,Industry
A,Health Care,Health Care Equipment
AAL,Industrials,Airlines
AAP,Consumer Discretionary,Automotive Retail
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
ABBV,Health Care,Pharmaceuticals
ABC,Health Care,Health Care Distributors
ABT,Health Care,Health Care Equipment
ACN,Information Technology,IT Consulting & Other Services
ADBE,Information Technology,Application Software
ADI,Information Technology,Semiconductors
ADM,Consumer Staples,Agricultural Products
ADP,Information Technology,Data Processing & Outsourced Services
ADSK,Information Technology,Application Software
AEE,Utilities,Multi-Utilities
AEP,Utilities,Electric Utilities
AES,Utilities,Independent Power Producers & Energy Traders
AFL,Financials,Life & Health Insurance
AIG,Financials,Property & Casualty Insurance
AIZ,Financials,Multi-line Insurance
AKAM,Information Technology,Internet Services & Infrastructure
ALL,Financials,Property & Casualty Insurance
ALLE,Industrials,Building Products
ALXN,Health Care,Pharmaceuticals
AMAT,Information Technology,Semiconductor Equipment
AME,Industrials,Electrical Components & Equipment
AMGN,Health Care,Biotechnology
AMP,Financials,Asset Management & Custody Banks
AMT,Real Estate,Specialized REITs
AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
ANTM,Health Care,Managed Health Care
AON,Financials,Insurance Brokers
APA,Energy,Oil & Gas Exploration & Production
APD,Materials,Industrial Gases
APH,Information Technology,Electronic Components
APTV,Consumer Discretionary,Auto Parts & Equipment
ATVI,Communication Services,Interactive Home Entertainment
AVB,Real Estate,Residential REITs
AVGO,Information Technology,Semiconductors
AVY,Materials,Paper Packaging
AXP,Financials,Consumer Finance
AZO,Consumer Discretionary,Specialty Stores
BA,Industrials,Aerospace & Defense
BAC,Financials,Diversified Banks
BAX,Health Care,Health Care Equipment
BBY,Consumer Discretionary,Computer & Electronics Retail
BDX,Health Care,Health Care Equipment
BEN,Financials,Asset Management & Custody Banks
BF.B,Consumer Staples,Distillers & Vintners
BIIB,Health Care,Biotechnology
BK,Financials,Asset Management & Custody Banks
BKNG,Consumer Discretionary,Internet & Direct Marketing Retail
BLK,Financials,Asset Management & Custody Banks
BLL,Materials,Metal & Glass Containers
BMY,Health Care,Health Care Distributors
BRK.B,Financials,Multi-Sector Holdings
BSX,Health Care,Health Care Equipment
BWA,Consumer Discretionary,Auto Parts & Equipment
BXP,Real Estate,Office REITs
C,Financials,Diversified Banks
CAG,Consumer Staples,Packaged Foods & Meats
CAH,Health Care,Health Care Distributors
CAT,Industrials,Construction Machinery & Heavy Trucks
CB,Financials,Property & Casualty Insurance
CBRE,Real Estate,Real Estate Services
CCI,Real Estate,Specialized REITs
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CERN,Health Care,Health Care Technology
CF,Materials,Fertilizers & Agricultural Chemicals
CFG,Financials,Regional Banks
CHD,Consumer Staples,Household Products
CHRW,Industrials,Air Freight & Logistics
CI,Health Care,Managed Health Care
CINF,Financials,Property & Casualty Insurance
CL,Consumer Staples,Household Products
CLX,Consumer Staples,Household Products
CMA,Financials,Diversified Banks
CMCSA,Communication Services,Cable & Satellite
CME,Financials,Financial Exchanges & Data
CMG,Consumer Discretionary,Restaurants
CMI,Industrials,Industrial Machinery
CMS,Utilities,Multi-Utilities
CNP,Utilities,Multi-Utilities
COF,Financials,Consumer Finance
COG,Energy,Oil & Gas Exploration & Production
COP,Energy,Oil & Gas Exploration & Production
COST,Consumer Staples,Hypermarkets & Super Centers
CPB,Consumer Staples,Packaged Foods & Meats
CRM,Information Technology,Application Software
CSCO,Information Technology,Communications Equipment
CSX,Industrials,Railroads
CTAS,Industrials,Diversified Support Services
CTSH,Information Technology,IT Consulting & Other Services
CTXS,Information Technology,Application Software
CVS,Health Care,Health Care Services
CVX,Energy,Integrated Oil & Gas
D,Utilities,Electric Utilities
DAL,Industrials,Airlines
DE,Industrials,Agricultural & Farm Machinery
DFS,Financials,Consumer Finance
DG,Consumer Discretionary,General Merchandise Stores
DGX,Health Care,Health Care Services
DHI,Consumer Discretionary,Homebuilding
DHR,Health Care,Health Care Equipment
DIS,Communication Services,Movies & Entertainment
DISCA,Communication Services,Broadcasting
DISCK,Communication Services,Broadcasting
DLTR,Consumer Discretionary,General Merchandise Stores
DOV,Industrials,Industrial Machinery
DRI,Consumer Discretionary,Restaurants
DTE,Utilities,Multi-Utilities
DUK,Utilities,Electric Utilities
DVA,Health Care,Health Care Facilities
DVN,Energy,Oil & Gas Exploration & Production
EA,Communication Services,Interactive Home Entertainment
EBAY,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Materials,Specialty Chemicals
ED,Utilities,Electric Utilities
EFX,Industrials,Research & Consulting Services
EIX,Utilities,Electric Utilities
EL,Consumer Staples,Personal Products
EMN,Materials,Diversified Chemicals
EMR,Industrials,Electrical Components & Equipment
EOG,Energy,Oil & Gas Exploration & Production
EQIX,Real Estate,Specialized REITs
EQR,Real Estate,Residential REITs
ES,Utilities,Multi-Utilities
ESS,Real Estate,Residential REITs
ETN,Industrials,Electrical Components & Equipment
ETR,Utilities,Electric Utilities
EW,Health Care,Health Care Equipment
EXC,Utilities,Multi-Utilities
EXPD,Industrials,Air Freight & Logistics
EXPE,Consumer Discretionary,Internet & Direct Marketing Retail
EXR,Real Estate,Specialized REITs
F,Consumer Discretionary,Automobile Manufacturers
FAST,Industrials,Building Products
FB,Communication Services,Interactive Media & Services
FCX,Materials,Copper
FDX,Industrials,Air Freight & Logistics
FE,Utilities,Electric Utilities
FFIV,Information Technology,Communications Equipment
FIS,Information Technology,Data Processing & Outsourced Services
FISV,Information Technology,Data Processing & Outsourced Services
FITB,Financials,Regional Banks
FLIR,Information Technology,Electronic Equipment & Instruments
FLS,Industrials,Industrial Machinery
FMC,Materials,Fertilizers & Agricultural Chemicals
FTI,Energy,Oil & Gas Equipment & Services
GD,Industrials,Aerospace & Defense
GE,Industrials,Industrial Conglomerates
GILD,Health Care,Biotechnology
GIS,Consumer Staples,Packaged Foods & Meats
GL,Financials,Life & Health Insurance
GLW,Information Technology,Electronic Components
GM,Consumer Discretionary,Automobile Manufacturers
GOOG,Communication Services,Interactive Media & Services
GOOGL,Communication Services,Interactive Media & Services
GPC,Consumer Discretionary,Specialty Stores
GPS,Consumer Discretionary,Apparel Retail
GRMN,Consumer Discretionary,Consumer Electronics
GS,Financials,Investment Banking & Brokerage
GWW,Industrials,Industrial Machinery
HAL,Energy,Oil & Gas Equipment & Services
HAS,Consumer Discretionary,Leisure Products
HBAN,Financials,Regional Banks
