Ticker,1/29/2016,2/29/2016,3/31/2016,4/29/2016,5/31/2016,6/30/2016,7/29/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/30/2016,1/31/2017,2/28/2017,3/31/2017,4/28/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/29/2017,10/31/2017,11/30/2017,12/29/2017,1/31/2018,2/28/2018,3/29/2018,4/30/2018,5/31/2018,6/29/2018,7/31/2018,8/31/2018,9/28/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/29/2019,4/30/2019,5/31/2019,6/28/2019,7/31/2019,8/30/2019,9/30/2019,10/31/2019,11/29/2019,12/31/2019,1/31/2020,2/28/2020,3/31/2020,4/30/2020,5/29/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/30/2020,11/30/2020,12/31/2020,1/29/2021
A,35.97,35.68,38.07,39.21,43.97,42.61,46.22,45.13,45.35,41.96,42.35,44.00,47.30,49.55,51.19,53.30,58.42,57.55,58.02,62.80,62.30,66.15,67.33,65.26,71.56,66.84,65.20,64.21,60.48,60.40,64.66,66.13,69.06,63.57,70.98,66.35,74.80,78.13,79.06,77.37,66.08,73.59,68.56,70.24,75.85,74.98,79.95,84.62,81.90,76.45,71.22,76.24,87.65,88.07,96.00,100.08,100.59,101.92,116.71,118.30,120.17
AAL,37.26,39.29,39.30,33.24,30.67,27.21,34.12,34.99,35.29,39.13,44.88,45.12,42.76,44.90,40.97,41.28,46.99,48.84,48.96,43.51,46.19,45.53,49.21,50.71,52.94,52.98,50.74,41.92,42.62,37.16,38.70,39.73,40.56,34.43,39.52,31.60,35.20,35.16,31.34,33.73,26.95,32.27,30.19,26.13,26.78,29.85,28.63,28.57,26.74,19.05,12.19,12.01,10.50,13.07,11.12,13.05,12.29,11.28,14.13,15.77,17.17
AAP,149.86,146.30,158.09,153.91,151.68,159.42,167.54,155.23,147.14,138.22,167.47,166.93,162.12,154.59,146.40,140.36,131.95,115.18,110.66,96.72,98.07,80.81,99.85,98.61,115.72,113.01,117.33,113.27,127.29,134.36,139.83,162.41,166.72,158.24,176.02,156.02,157.74,160.30,169.03,164.86,153.64,152.84,149.37,136.79,164.07,161.18,155.82,158.94,130.74,131.96,92.87,120.32,138.65,142.00,149.66,155.82,153.26,147.05,147.47,157.51,149.14
AAPL,22.55,22.52,25.38,21.83,23.40,22.40,24.42,24.99,26.63,26.75,26.17,27.42,28.73,32.58,34.16,34.16,36.48,34.39,35.51,39.31,36.95,40.52,41.34,40.71,40.28,43.03,40.53,39.92,45.31,44.89,46.14,55.39,54.93,53.26,43.61,38.52,40.64,42.46,46.58,49.21,43.10,48.72,52.45,51.58,55.35,61.47,66.24,72.78,76.71,67.92,63.18,72.99,79.21,90.88,105.89,128.82,115.61,108.67,119.05,132.69,131.96
ABBV,43.97,43.74,45.75,49.32,50.88,50.06,54.02,52.28,51.44,45.92,50.05,51.55,50.81,51.42,54.18,55.37,55.44,60.89,59.24,63.80,75.29,77.00,82.69,82.52,96.44,99.54,81.34,83.83,85.90,80.44,80.90,84.19,82.96,69.01,83.57,81.73,72.05,71.11,72.32,72.19,69.75,66.12,61.50,60.69,69.90,74.51,82.17,82.93,76.91,81.36,72.32,79.19,89.28,94.59,92.55,93.39,85.41,84.12,103.37,105.91,102.48
ABC,81.98,79.60,79.54,78.20,69.22,73.22,78.64,80.59,74.86,65.16,72.61,72.79,81.26,85.54,82.72,76.69,86.14,88.74,88.07,75.68,78.03,72.56,80.37,87.00,94.44,90.52,82.00,86.16,78.47,81.46,78.18,86.33,88.49,84.44,85.69,71.71,80.36,80.66,77.00,72.40,75.79,82.99,84.83,80.45,80.51,83.50,86.37,83.53,84.06,83.21,87.33,88.48,94.56,99.94,99.37,96.63,96.52,95.67,103.11,97.76,104.20
ABT,34.39,35.20,38.01,35.56,36.23,35.94,41.16,38.65,38.90,36.32,35.24,35.56,38.92,42.00,41.38,40.91,42.80,45.57,46.36,48.01,50.30,51.37,53.39,54.06,59.16,57.42,57.03,55.59,58.84,58.32,62.96,64.21,70.47,66.49,71.42,69.76,70.72,75.21,77.46,77.41,74.07,81.83,85.06,83.32,81.71,81.98,83.79,85.17,85.81,75.85,77.70,91.06,93.86,90.41,99.90,108.67,108.03,104.69,107.79,109.05,123.59
ACN,96.48,91.66,105.50,104.23,109.82,104.57,104.13,106.15,112.77,108.41,111.39,109.24,106.20,114.25,111.81,114.31,117.29,116.55,121.39,123.22,127.28,135.45,140.83,145.66,152.90,153.19,146.05,145.13,149.49,157.02,152.93,162.28,163.37,152.68,159.36,136.59,148.73,156.32,170.50,178.41,173.91,180.46,188.08,193.54,187.86,181.87,197.31,206.54,202.06,177.82,160.75,183.17,199.42,212.38,223.14,238.18,224.34,216.17,248.24,260.32,241.92
ADBE,89.13,85.15,93.80,94.22,99.47,95.79,97.86,102.31,108.54,107.51,102.81,102.95,113.38,118.34,130.13,133.74,141.86,141.44,146.49,155.16,149.18,175.16,181.47,175.24,199.76,209.13,216.08,221.60,249.28,243.81,244.68,263.51,269.95,245.76,250.89,226.24,247.82,262.50,266.49,289.25,270.90,294.65,298.86,284.51,276.25,277.93,309.53,329.81,351.14,345.12,318.24,353.64,386.60,435.31,444.32,513.39,490.43,447.10,478.47,500.12,458.77
ADI,48.23,47.84,53.44,50.85,53.20,51.51,58.05,57.27,59.00,58.68,68.35,66.86,68.99,75.84,75.86,70.54,79.39,72.42,73.55,77.89,80.66,85.46,81.03,83.77,86.45,84.83,86.20,82.62,91.92,91.15,91.36,94.39,88.29,79.93,88.25,82.40,94.91,103.21,101.58,112.17,93.75,109.52,113.97,107.10,108.96,103.98,110.15,116.44,107.53,107.43,88.32,107.97,111.87,121.47,113.76,116.36,116.23,118.01,138.47,147.73,147.33
